studyID,studyName,species,treatment,treatment.year,%BA-removed,treatment.notes,measurement.year,responseVariable,units,mean_treatment,n_treatment,sd_treatment,se_treatment,mean_control,n_control,sd_control,se_control,disturbance,disturbanceStart,disturbanceEnd,mortalityAgent,method,SiteName,latitude coordinate,longitude coordinate,comment,"Carbon-vs-Mortality (1=Carbon, 2=Mortality)",ImputedBAremoved? (1=yes),ImputedSD? (1=yes),MortalityAttributionUncertain (1=yes),PercentComposition,"GroupingFlags (same number = should be grouped later, recycle numbers between studies. If nothing should be grouped, write NA)"
33,Egan et al. 2010,All species,Commercially thinned,early 1990s,37.2,Table 4; provides median (not mean) values; summed across all insect agents,,Percent mortality,%,16.5,10,,,31.4,20,,,insects,2001,2007,All bark beetle,field census,"Warner Mountains, Modoc National Forest, in northeastern California",,,Table 4; provides median (not mean) values; summed across all insect agents,2,0,1,0,,NA
33,Egan et al. 2010,All species,Salvage-thinned,1990's,32.1223709,Table 4; provides median (not mean) values; summed across all insect agents,2006/2007,Percent mortality,%,25.7,27,,,31.4,20,,,insects,2001,2007,All bark beetle,field census,"Warner Mountains, Modoc National Forest, in northeastern California",,,Table 4; provides median (not mean) values; summed across all insect agents,2,0,1,0,,NA
33,Egan et al. 2010,All species,Commercially thinned,early 1990s,37.2,Table 4; provides median (not mean) values; summed across all insect agents,,Basal area,m2/ha,37.2,10,4.7434,1.5,52.3,20,20.1246,4.5,insects,2001,2007,All bark beetle,field census,"Warner Mountains, Modoc National Forest, in northeastern California",,,Table 3,1,0,0,0,,NA
33,Egan et al. 2010,All species,Salvage-thinned,1990's,32.1223709,Table 4; provides median (not mean) values; summed across all insect agents,2006/2007,Basal area,m2/ha,35.5,27,10.3923,2,52.3,20,20.1246,4.5,insects,2001,2007,All bark beetle,field census,"Warner Mountains, Modoc National Forest, in northeastern California",,,Table 3,1,0,0,0,,NA
61,Fajvan and Gottschalk 2012,mixed oak stand (red & white),low thinning,1981,31,"% stock change, not real BA%",1987,Wood volume,cm3,78694.7,27,148876.0023,28651.2,79778.2,27,153864.8282,29611.3,insects,1981,1982,gypsy moth,Field experiment,Clinton County Pennsylvania,41.2325278,-77.6423307,Table 1,1,0,0,0,,NA
61,Fajvan and Gottschalk 2012,mixed oak stand (red & white),moderate thinning,1981,42,"% stock change, not real BA%",1987,Wood volume,cm3,85837.2,27,165535.3866,31857.3,79778.2,27,153864.8282,29611.3,insects,1981,1982,gypsy moth,Field experiment,Clinton County Pennsylvania,41.2325278,-77.6423307,Table 1,1,0,0,0,,NA
59,Negrón et al. 2022,Pinus ponderosa,Thinned,2014,71,,,Basal area killed by beetles,%,3.9,21,3.2,0.69829,38.2,21,7,1.5275,insects,1990,2014,mountain pine beetle,Field experiment,"Black Hills National Forest, South Dakota and Wyoming",,,Table 2,2,0,0,0,,NA
191,Sturdevant et al. 2022,Pseudotsuga menziesii,Thinned,2014-2015,55,calculated from BA of untreated to teated stands,2017-2018,Basal area,ft2/ac,62,18,10.6066,2.5,140,12,24.5951,7.1,insects,2015,2016,douglas fir beetle,Field experimet,"Helena National Forest, Montana",46.3,-111.5,Table 1,1,0,0,0,,NA
191,Sturdevant et al. 2022,Pseudotsuga menziesii,Thinned,2014-2015,55,calculated from BA of untreated to teated stands,2017-2018,% Mortality killed by beetles,%,1.574468,18,4.15237,0.978724,3.531915,12,5.1593,1.4893617,insects,2015,2016,douglas fir beetle,Field experimet,"Helena National Forest, Montana",46.3,-111.5,figure 1,2,0,0,0,,NA
58,Hood et al. 2016,Pinus ponderosa,burn only,2001-2002,10,,2012,stand mortality,%,39,3,6.92820323,4,50,3,8.660254038,5,insects,2005,2012,bark beetle,Field experiment,Lubrecht Experimental Forest,46.88333333,-113.4333333,Figure 2,2,0,0,0,,NA
