studyID,studyName,species,treatment,treatment.year,%BA-removed,treatment.notes,measurement.year,responseVariable,units,mean_treatment,n_treatment,sd_treatment,se_treatment,mean_control,n_control,sd_control,se_control,disturbance,disturbanceStart,disturbanceEnd,mortalityAgent,method,SiteName,latitude coordinate,longitude coordinate,comment,"Carbon-vs-Mortality (1=Carbon, 2=Mortality)",ImputedBAremoved? (1=yes),ImputedSD? (1=yes),MortalityAttributionUncertain (1=yes),PercentComposition,"GroupingFlags (same number = should be grouped later, recycle numbers between studies. If nothing should be grouped, write NA)",Nis2,NoTrueControl,thin_severity,Olson_Biome,cwd,map,vpd,mat
33,Egan et al. 2010,All species,Commercially thinned,early 1990s,37.2,Table 4; provides median (not mean) values; summed across all insect agents,,fraction mortality,fraction,0.165,10,,,0.314,20,,,insects,2001,2007,All bark beetle,field census,"Warner Mountains, Modoc National Forest, in northeastern California",41.45,-120.251,"Table 4; provides median (not mean) values; summed across all insect agents, coordinates very approximate according to site name",2,0,1,0,,NA,0,0,moderate,Temperate Conifer Forests,655.183333,468.073333,0.75161111,6.61038889
33,Egan et al. 2010,All species,Salvage-thinned,1990's,32.1223709,Table 4; provides median (not mean) values; summed across all insect agents,2006/2007,fraction mortality,fraction,0.257,27,,,0.314,20,,,insects,2001,2007,All bark beetle,field census,"Warner Mountains, Modoc National Forest, in northeastern California",41.45,-120.251,"Table 4; provides median (not mean) values; summed across all insect agents, coordinates very approximate according to site name",2,0,1,0,,NA,0,0,moderate,Temperate Conifer Forests,655.183333,468.073333,0.75161111,6.61038889
33,Egan et al. 2010,All species,Commercially thinned,early 1990s,37.2,Table 4; provides median (not mean) values; summed across all insect agents,,Basal area,m2/ha,37.2,10,4.7434,1.5,52.3,20,20.1246,4.5,insects,2001,2007,All bark beetle,field census,"Warner Mountains, Modoc National Forest, in northeastern California",41.45,-120.251,"Table 3, coordinates very approximate according to site name",1,0,0,0,,NA,0,0,moderate,Temperate Conifer Forests,655.183333,468.073333,0.75161111,6.61038889
33,Egan et al. 2010,All species,Salvage-thinned,1990's,32.1223709,Table 4; provides median (not mean) values; summed across all insect agents,2006/2007,Basal area,m2/ha,35.5,27,10.3923,2,52.3,20,20.1246,4.5,insects,2001,2007,All bark beetle,field census,"Warner Mountains, Modoc National Forest, in northeastern California",41.45,-120.251,"Table 3, coordinates very approximate according to site name",1,0,0,0,,NA,0,0,moderate,Temperate Conifer Forests,655.183333,468.073333,0.75161111,6.61038889
58,Hood et al. 2016,Pinus ponderosa,burn only,2001-2002,10,,2012,stand mortality,fraction,0.39,3,0.0692820323,0.04,0.5,3,0.08660254038,0.05,insects,2005,2012,bark beetle,Field experiment,Lubrecht Experimental Forest,46.88333333,-113.4333333,Figure 2,2,0,0,0,,NA,0,0,,Temperate Broadleaf and Mixed Forests,88.78,1076.16333,0.48794444,9.04948611
58,Hood et al. 2016,Pinus ponderosa,thin only,2001-2002,50,,2012,stand mortality,fraction,0.01,3,0.03464101615,0.02,0.5,3,0.08660254038,0.05,insects,2005,2012,bark beetle,Field experiment,Lubrecht Experimental Forest,46.88333333,-113.4333333,Figure 2,2,0,0,0,,NA,0,0,moderate,Temperate Broadleaf and Mixed Forests,88.78,1076.16333,0.48794444,9.04948611
58,Hood et al. 2016,Pinus ponderosa,thin-burn,2001-2002,65,,2012,stand mortality,fraction,0.14,3,0.08660254038,0.05,0.5,3,0.08660254038,0.05,insects,2005,2012,bark beetle,Field experiment,Lubrecht Experimental Forest,46.88333333,-113.4333333,Figure 2,2,0,0,0,,NA,0,0,,Temperate Conifer Forests,393.793333,550.61,0.59402778,5.24583333
58,Hood et al. 2016,Pinus ponderosa,burn only,2001-2002,10,,2012,Live basal area,m2/ha,9.1,3,2.078460969,1.2,6.6,3,2.078460969,1.2,insects,2005,2012,bark beetle,Field experiment,Lubrecht Experimental Forest,46.88333333,-113.4333333,Figure 2,1,0,0,0,,NA,0,0,,Temperate Conifer Forests,755.913333,279.143333,0.80688889,7.88266667
58,Hood et al. 2016,Pinus ponderosa,thin only,2001-2002,50,,2012,Live basal area,m2/ha,10.6,3,2.424871131,1.4,6.6,3,2.078460969,1.2,insects,2005,2012,bark beetle,Field experiment,Lubrecht Experimental Forest,46.88333333,-113.4333333,Figure 2,1,0,0,0,,NA,0,0,moderate,Temperate Conifer Forests,755.913333,279.143333,0.80688889,7.88266667
58,Hood et al. 2016,Pinus ponderosa,thin-burn,2001-2002,65,,2012,Live basal area,m2/ha,8.2,3,2.25166605,1.3,6.6,3,2.078460969,1.2,insects,2005,2012,bark beetle,Field experiment,Lubrecht Experimental Forest,46.88333333,-113.4333333,Figure 2,1,0,0,0,,NA,0,0,,Temperate Conifer Forests,554.876667,380.146667,0.68613889,6.07284722
59,Negrón et al. 2022,Pinus ponderosa,Thinned,2014,71,,,Basal area killed by beetles,fraction,0.039,21,0.032,0.0069829,0.382,21,0.07,0.015275,insects,1990,2014,mountain pine beetle,Field experiment,"Black Hills National Forest, South Dakota and Wyoming",43.953,-103.681,"Table 2,  coordinates very approximate according to site name",2,0,0,0,,NA,0,0,high,Temperate Conifer Forests,554.876667,380.146667,0.68613889,6.07284722
60,Steel et al. 2021,Abies concolor,burned/no thin,2000,NA,BA% was not mentioned,"2011, 2017",stand mortality,fraction,0.3375,3,,,0.3775,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,65.58,1,0,0,,Temperate Conifer Forests,554.876667,380.146667,0.68613889,6.07284722
60,Steel et al. 2021,Abies concolor,unburned/understory thin,2000,NA,,"2011, 2017",stand mortality,fraction,0.325,3,,,0.3775,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,65.58,2,0,0,,Temperate Conifer Forests,554.876667,380.146667,0.68613889,6.07284722
60,Steel et al. 2021,Abies concolor,burned/understory thin,2000,NA,,"2011, 2017",stand mortality,fraction,0.39,3,,,0.3775,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,65.58,3,0,0,,Temperate Conifer Forests,554.876667,380.146667,0.68613889,6.07284722
60,Steel et al. 2021,Abies concolor,unburned/overstory thin,2000,NA,,"2011, 2017",stand mortality,fraction,0.355,3,,,0.3775,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,65.58,4,0,0,,Temperate Conifer Forests,554.876667,380.146667,0.68613889,6.07284722
60,Steel et al. 2021,Abies concolor,burned/overstory thin,2000,NA,,"2011, 2017",stand mortality,fraction,0.3625,3,,,0.3775,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,65.58,5,0,0,,Temperate Conifer Forests,673.743333,332.34,0.70202778,6.09023611
60,Steel et al. 2021,Abies magnifica,burned/no thin,2000,NA,,"2011, 2017",stand mortality,fraction,1,3,,,0.3575,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,4.89,1,0,0,,Temperate Conifer Forests,673.743333,332.34,0.70202778,6.09023611
60,Steel et al. 2021,Abies magnifica,unburned/understory thin,2000,NA,,"2011, 2017",stand mortality,fraction,0.2275,3,,,0.3575,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,4.89,2,0,0,,Temperate Conifer Forests,673.743333,332.34,0.70202778,6.09023611
60,Steel et al. 2021,Abies magnifica,burned/understory thin,2000,NA,,"2011, 2017",stand mortality,fraction,0.405,3,,,0.3575,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,4.89,3,0,0,,Temperate Conifer Forests,673.743333,332.34,0.70202778,6.09023611
60,Steel et al. 2021,Abies magnifica,unburned/overstory thin,2000,NA,,"2011, 2017",stand mortality,fraction,0.26,3,,,0.3575,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,4.89,4,0,0,,Temperate Conifer Forests,766.493333,577.56,0.79775,7.37109722
60,Steel et al. 2021,Abies magnifica,burned/overstory thin,2000,NA,,"2011, 2017",stand mortality,fraction,0,3,,,0.3575,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,4.89,5,0,0,,Temperate Conifer Forests,766.493333,577.56,0.79775,7.37109722
60,Steel et al. 2021,Calocedrus decurrens,burned/no thin,2000,NA,,"2011, 2017",stand mortality,fraction,0.02,3,,,0.025,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,16.52,1,0,0,,Temperate Conifer Forests,638.856667,721.27,0.75505556,7.41418056
60,Steel et al. 2021,Calocedrus decurrens,unburned/understory thin,2000,NA,,"2011, 2017",stand mortality,fraction,0.01,3,,,0.025,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,16.52,2,0,0,,Temperate Conifer Forests,638.856667,721.27,0.75505556,7.41418056
60,Steel et al. 2021,Calocedrus decurrens,burned/understory thin,2000,NA,,"2011, 2017",stand mortality,fraction,0.0325,3,,,0.025,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,16.52,3,0,0,,Deserts and Xeric Shrublands,1615.28667,132.623333,1.46972222,14.1978889
60,Steel et al. 2021,Calocedrus decurrens,unburned/overstory thin,2000,NA,,"2011, 2017",stand mortality,fraction,0.0075,3,,,0.025,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,16.52,4,0,0,,Deserts and Xeric Shrublands,1615.28667,132.623333,1.46972222,14.1978889
60,Steel et al. 2021,Calocedrus decurrens,burned/overstory thin,2000,NA,,"2011, 2017",stand mortality,fraction,0.025,3,,,0.025,3,,,drought&insect,2012,2016,beetle,Field experiment,Teakettle Experimental Forest,36.96666667,-116.0333333,Table S1,2,1,1,0,16.52,5,0,0,,Deserts and Xeric Shrublands,1615.28667,132.623333,1.46972222,14.1978889
